Data,Visitantes Únicos,Sessões,Taxa de Rejeição (%),Páginas por Sessão,Principais Origens do Tráfego,Dispositivos,Eventos,Taxa de Conversão (%),Tempo Médio de Sessão (minutos)
2023-01-01,113.0,126.0,50.49671415301123,1.8342009978155855,Direto,Desktop,8,1.952082576215471,5.3955159735215235
2023-01-02,90.0,157.0,49.438006885269495,1.9557604021300974,Social,Desktop,5,2.0661798650454823,4.680899492941613
2023-01-03,92.0,185.0,49.80023091098205,2.2850519413636357,Direto,Desktop,9,2.058858028023126,5.972583596146016
2023-01-04,130.0,206.0,50.25184341573006,2.3254638835951673,Pago,Mobile,6,2.1346166257275265,4.705854129620809
2023-01-05,123.0,155.0,48.07093137103938,2.2670061218851365,Direto,Desktop,6,2.4202356330868775,5.835801428256068
2023-01-06,148.0,191.0,47.64721897525421,2.362448527509214,Orgânico,Mobile,9,2.559352816416404,6.773193914599904
2023-01-07,150.0,197.0,49.03683993415146,2.6623126401746338,Direto,Mobile,4,2.501273564113153,5.318291159468553
2023-01-08,146.0,202.0,47.80133303423766,2.356261993419275,Pago,Desktop,9,2.6935736287722536,5.666003677571496
2023-01-09,137.0,284.0,46.140695105590474,2.65179235758994,Social,Desktop,2,2.714129704199679,6.134571445255685
2023-01-10,131.0,254.0,46.72900072155207,2.569730961038645,Social,Desktop,10,2.698199888946267,5.968601155992748
2023-01-11,159.0,214.0,45.29929417159432,2.634429861049471,Direto,Mobile,6,2.8835971876694853,5.580600487856764
2023-01-12,192.0,289.0,44.8732532972772,2.9655180822618448,Referência,Desktop,9,3.0860070464771057,6.525806911131827
2023-01-13,186.0,336.0,45.15721650885417,2.9786425918315045,Orgânico,Mobile,4,3.0133665486313777,6.095966787204745
2023-01-14,163.0,313.0,42.57824517907102,3.0440578594035173,Pago,Desktop,1,3.2581592808356374,6.99950807972437
2023-01-15,198.0,247.0,42.34287877765646,3.2102483038037475,Orgânico,Mobile,6,2.924466167557127,6.438592967628861
2023-01-16,209.0,288.0,43.0817802673692,3.0211499208689245,Direto,Desktop,8,3.3533766911154888,7.808865507593516
2023-01-17,191.0,351.0,42.207507862716426,3.221136356970857,Direto,Desktop,6,3.3646369102136475,6.77786487925561
2023-01-18,218.0,302.0,43.1108575020868,3.090489021562665,Orgânico,Tablet,2,3.410777231055108,7.144053987659874
2023-01-19,223.0,346.0,41.464857280410996,3.285172253548536,Social,Mobile,3,3.5345998064671096,7.8474365747865304
2023-01-20,206.0,366.0,40.536848841037596,3.2621069823468023,Direto,Desktop,5,3.4114126000653346,6.960839028223701
2023-01-21,243.0,326.0,42.99107249773512,3.375331396388374,Referência,Mobile,3,3.6729480654535367,7.825594374081725
2023-01-22,254.0,362.0,40.8759186147677,3.5427602186467047,Orgânico,Desktop,3,3.815372274100327,8.501029004259857
2023-01-23,271.0,276.0,40.74549430638284,3.327881287082119,Social,Mobile,5,4.012196184135169,7.179309230177013
2023-01-24,277.0,353.0,38.829489101922135,3.9777994890353976,Orgânico,Mobile,6,3.897325520545517,8.210960997062763
2023-01-25,235.0,386.0,39.286125750051085,3.4259151677678563,Orgânico,Desktop,5,3.9530489447954267,8.384178685259805
2023-01-26,251.0,367.0,39.51770225072681,3.4520775316797416,Social,Desktop,3,4.068468363438156,8.780741944363232
2023-01-27,287.0,463.0,37.83205727003532,3.9943340391067927,Direto,Desktop,5,4.294930042278682,7.906948373374518
2023-01-28,293.0,382.0,38.93502005224398,3.9888410133688583,Direto,Mobile,3,4.321010704186308,8.000788642610406
2023-01-29,300.0,422.0,37.53495453042018,4.023129048156194,Pago,Mobile,3,4.319905335555499,9.057580952299976
2023-01-30,374.0,449.0,37.420170656986386,4.0917707967681105,Pago,Desktop,6,4.508953861955403,9.080695726447102
2023-01-31,315.0,498.0,29.228801862346877,4.031448950515363,Orgânico,Desktop,5,4.552080636290737,11.193043035342429
2023-02-01,333.0,422.0,31.343803608237753,3.9222440409570707,Orgânico,Mobile,6,4.723983143121085,11.376613935256962
2023-02-02,336.0,510.0,29.139045148143424,4.184652437062474,Social,Tablet,2,4.641659097391925,10.998970690058211
2023-02-03,337.0,486.0,27.755848393078,4.101855793290797,Orgânico,Mobile,4,4.763843954831748,11.59070311976694
2023-02-04,324.0,466.0,29.297121183289633,4.500108692446262,Direto,Desktop,7,4.8421451168901735,11.756705728174765
2023-02-05,352.0,520.0,26.914749570367963,4.343469879631775,Direto,Desktop,6,4.8197502001020425,11.388587002851223
2023-02-06,329.0,522.0,28.005473764496283,4.275578526743193,Referência,Desktop,5,5.080459485333576,12.81424318777577
2023-02-07,346.0,508.0,25.497956994764294,4.444197407940588,Social,Tablet,4,5.161698747556971,12.253865612998268
2023-02-08,348.0,539.0,25.790458018898182,4.658857477295803,Direto,Desktop,3,5.220850328715094,11.556890624280031
2023-02-09,366.0,535.0,26.976522252818278,4.531322886049375,Orgânico,Mobile,3,5.281626032425197,12.616412397537253
2023-02-10,417.0,560.0,27.17914454609711,4.547420327666375,Orgânico,Desktop,7,5.248293434269534,11.93638797844566
2023-02-11,341.0,587.0,26.273063196444205,4.828398459247535,Social,Mobile,7,5.432511738909905,12.952864335769531
2023-02-12,398.0,625.0,25.64706358201854,4.8964509413403885,Direto,Mobile,6,5.525050582245628,13.274213043740989
2023-02-13,359.0,550.0,25.12262511797003,4.813865602213909,Direto,Mobile,6,5.563840069688007,12.420167315400414
2023-02-14,389.0,661.0,23.60622377234444,4.888843186333963,Referência,Desktop,7,5.7126849881554325,13.447789759537415
2023-02-15,427.0,549.0,24.0259185034697,5.097257445098646,Direto,Desktop,8,5.853964407715352,13.308085378722486
2023-02-16,413.0,613.0,23.946140890057166,4.829027199497146,Social,Desktop,6,6.086923674866816,13.648318215590466
